렌즈,입력,단계,시각(초),표본,가로 폭,결정계수,계수,통과,거절 이유,적용 뒤 계수
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,52.53,480,0.4836,0.0754,-0.0012,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,56.53,480,0.4836,0.0699,-0.0053,0,결정계수 미달,0.0
광각 90도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,60.53,480,0.4836,0.0785,-0.0131,0,결정계수 미달,0.0
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,8.53,210,0.5085,0.6339,1.4252,1,-,0.4276
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,12.53,330,0.5085,0.1043,0.7161,0,결정계수 미달,0.4276
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,16.53,450,0.5735,0.1097,-1.3335,0,결정계수 미달,0.4276
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,20.53,450,0.5735,0.248,-1.4267,1,-,-0.1287
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,24.53,462,0.5736,0.1427,-1.3572,0,결정계수 미달,-0.1287
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,28.53,462,0.5736,0.2048,-1.9896,1,-,-0.687
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,32.53,437,0.5606,0.1107,-0.8259,0,결정계수 미달,-0.687
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,36.53,437,0.5606,0.2034,-1.6144,1,-,-0.9652
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,40.53,431,0.5985,0.1275,-1.3374,0,결정계수 미달,-0.9652
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,44.53,431,0.5985,0.1225,-1.2667,0,결정계수 미달,-0.9652
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,48.53,408,0.5944,0.3237,-2.3688,1,-,-1.2757
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,52.53,408,0.5944,0.1453,-1.3416,0,결정계수 미달,-1.2757
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,56.53,432,0.5815,0.2422,-2.324,1,-,-1.493
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,60.53,432,0.5815,0.2665,-2.2469,1,-,-1.6451
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,64.53,470,0.5861,0.2162,-1.4656,1,-,-1.5912
초광각 120도,① 렌즈 비교 측정 그대로,예열 70초,68.53,470,0.5861,0.2116,-1.9556,1,-,-1.7006
초광각 120도,① 렌즈 비교 측정 그대로,좌우 ±14° 훑기,72.53,470,0.5665,0.1483,-1.3636,0,결정계수 미달,-1.7006
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,8.53,240,0.1251,nan,nan,0,가로 폭 부족,0.0
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,12.53,360,0.231,0.0973,-8.9158,0,결정계수 미달,0.0
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,16.53,480,0.4015,0.0082,0.5849,0,결정계수 미달,0.0
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,20.53,480,0.4015,0.0842,1.7846,0,결정계수 미달,0.0
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,24.53,480,0.4385,0.0231,-0.3888,0,결정계수 미달,0.0
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,28.53,480,0.4385,0.2076,-0.5407,1,-,-0.1622
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,32.53,480,0.396,0.0118,-0.4162,0,결정계수 미달,-0.1622
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,36.53,480,0.396,0.0328,1.5496,0,결정계수 미달,-0.1622
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,40.53,480,0.3728,0.0559,2.6585,0,결정계수 미달,-0.1622
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,44.53,480,0.3453,0.0669,0.0834,0,결정계수 미달,-0.1622
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,48.53,480,0.3283,0.2811,-4.6485,1,-,-0.7136
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,52.53,480,0.3826,0.0688,2.1496,0,결정계수 미달,-0.7136
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,56.53,480,0.4273,0.1044,0.5679,0,결정계수 미달,-0.7136
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,60.53,480,0.4273,0.1447,0.4479,0,결정계수 미달,-0.7136
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,64.53,480,0.4273,0.1922,-0.5826,1,-,-0.6743
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,68.53,480,0.3587,0.0631,-1.5117,0,결정계수 미달,-0.6743
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,72.53,480,0.4375,0.3655,-0.7391,1,-,-0.6937
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,76.53,480,0.4375,0.1066,0.296,0,결정계수 미달,-0.6937
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,80.53,480,0.4375,0.0936,-0.7103,0,결정계수 미달,-0.6937
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,84.53,480,0.2578,0.2935,-11.8038,1,-,-1.0856
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,88.53,480,0.3072,0.35,-6.005,1,-,-1.3599
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,92.53,480,0.3545,0.1724,-2.5286,1,-,-1.5519
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,96.53,480,0.4034,0.0303,-0.4093,0,결정계수 미달,-1.5519
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,100.53,480,0.4034,0.0202,-0.4883,0,결정계수 미달,-1.5519
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,104.53,480,0.4069,0.0231,-0.2044,0,결정계수 미달,-1.5519
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,108.53,480,0.4069,0.1834,-1.5398,1,-,-1.5483
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,112.53,480,0.3992,0.0665,-1.3382,0,결정계수 미달,-1.5483
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,116.53,480,0.3992,0.3561,-4.3888,1,-,-1.6838
초광각 120도,② 실사용 (무작위 지점 겨누기 2분),실사용 2분,120.53,480,0.3655,0.5936,-6.8751,1,-,-1.7787
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,8.53,240,0.4926,0.0249,0.0136,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,12.53,360,0.4926,0.046,0.0001,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,16.53,480,0.4926,0.0439,-0.0049,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,20.53,480,0.4889,0.0524,0.0014,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,24.53,480,0.4865,0.0452,0.0029,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,28.53,480,0.4865,0.0372,0.0064,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,32.53,480,0.4876,0.0536,0.0182,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,36.53,480,0.49,0.0597,0.0091,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,40.53,480,0.49,0.0707,0.0052,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,44.53,480,0.4917,0.0658,0.0212,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,48.53,480,0.4881,0.0409,0.0032,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,52.53,480,0.4901,0.0443,-0.0027,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,56.53,480,0.4901,0.0394,-0.0086,0,결정계수 미달,0.0
초광각 120도,③ 순수 좌우 왕복 60초,좌우 왕복 60초,60.53,480,0.4901,0.0466,-0.0206,0,결정계수 미달,0.0
